@relation InstanceResultListener

@attribute Key_Dataset {'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1','20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.RandomForest,weka.classifiers.trees.LMT,weka.classifiers.meta.AdaBoostM1,weka.classifiers.meta.LogitBoost,weka.classifiers.functions.SimpleLogistic,weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 5','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 3','-I -1 -M 15 -W 0.0','-I 3 -M 15 -W 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-I 0 -M 500 -H 50 -W 0.0','-I 3 -M 500 -H 50 -W 0.0','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {48055541465867954,1116839470751428698,-1113212459618104943,-1178107808933117974,-1105660358715833753,7397710626304705059,746037443258775954,5995231201785697655,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',6,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',7,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2029,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
