@relation InstanceResultListener

@attribute Key_Dataset {'20180909_h1_bzr-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R2-230-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,85','20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1','20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1','20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1','20180909_h3a_bzr-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-6,236-464-weka.filters.unsupervised.attribute.Reorder-R2-230,1','20180909_h3a_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1-3,5-89,319-547-weka.filters.unsupervised.attribute.Reorder-R2-230,1','20180909_h3b_bzr-weka.filters.unsupervised.attribute.Remove-R1-89,90,92,96-178-weka.filters.unsupervised.attribute.Remove-R1,3-4,234-462-weka.filters.unsupervised.attribute.Reorder-R2-230,1','20180909_h3b_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1-89,90,92,96-178-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-L3-weka.filters.unsupervised.attribute.Remove-R1,3-4,234-462-weka.filters.unsupervised.attribute.Reorder-R2-230,1','20180909_h3c_bzr-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-6,236-464-weka.filters.unsupervised.attribute.Reorder-R2-230,1','20180909_h3c_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-6,236-464-weka.filters.unsupervised.attribute.Reorder-R2-230,1'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.RandomForest,weka.classifiers.trees.LMT,weka.classifiers.meta.AdaBoostM1,weka.classifiers.meta.LogitBoost,weka.classifiers.functions.SimpleLogistic,weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 5','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 3','-I -1 -M 15 -W 0.0','-I 3 -M 15 -W 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-I 0 -M 500 -H 50 -W 0.0','-I 3 -M 500 -H 50 -W 0.0','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {48055541465867954,1116839470751428698,-1113212459618104943,-1178107808933117974,-1105660358715833753,7397710626304705059,746037443258775954,5995231201785697655,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data
'20180909_h1_bzr-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R2-230-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,85',1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,124,13,7,6,0,53.846154,46.153846,0,0,0.495726,0.498812,100,100,12.955528,12.955528,0,0.996579,0.996579,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,906,97527,17940,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,25,19,0,56.818182,43.181818,0,0,0.489617,0.495393,100,100,43.416186,43.416186,0,0.986732,0.986732,0,0,0,0,1,25,1,19,0,0,0,0,0.568182,1,0.724638,?,0.5,0.568182,0.568182,0.568182,0.431818,0.431818,?,0.568182,?,?,0.5,0.509298,?,0.568182,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,25,19,0,56.818182,43.181818,0,0,0.489617,0.495393,100,100,43.416186,43.416186,0,0.986732,0.986732,0,0,0,0,1,25,1,19,0,0,0,0,0.568182,1,0.724638,?,0.5,0.568182,0.568182,0.568182,0.431818,0.431818,?,0.568182,?,?,0.5,0.509298,?,0.568182,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,25,19,0,56.818182,43.181818,0,0,0.489617,0.495393,100,100,43.416186,43.416186,0,0.986732,0.986732,0,0,0,0,1,25,1,19,0,0,0,0,0.568182,1,0.724638,?,0.5,0.568182,0.568182,0.568182,0.431818,0.431818,?,0.568182,?,?,0.5,0.509298,?,0.568182,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,25,19,0,56.818182,43.181818,0,0,0.489617,0.495393,100,100,43.416186,43.416186,0,0.986732,0.986732,0,0,0,0,1,25,1,19,0,0,0,0,0.568182,1,0.724638,?,0.5,0.568182,0.568182,0.568182,0.431818,0.431818,?,0.568182,?,?,0.5,0.509298,?,0.568182,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,25,19,0,56.818182,43.181818,0,0,0.489617,0.495393,100,100,43.416186,43.416186,0,0.986732,0.986732,0,0,0,0,1,25,1,19,0,0,0,0,0.568182,1,0.724638,?,0.5,0.568182,0.568182,0.568182,0.431818,0.431818,?,0.568182,?,?,0.5,0.509298,?,0.568182,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,26,18,0,59.090909,40.909091,0,0,0.486617,0.491971,100,100,42.983913,42.983913,0,0.976907,0.976907,0,0,0,0,1,26,1,18,0,0,0,0,0.590909,1,0.742857,?,0.5,0.590909,0.590909,0.590909,0.409091,0.409091,?,0.590909,?,?,0.5,0.516529,?,0.590909,0,0,0,0,0,0,906,288655,39139,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,393,43,25,18,0,58.139535,41.860465,0,0,0.487842,0.493376,100,100,42.180054,42.180054,0,0.980931,0.980931,0,0,0,0,1,25,1,18,0,0,0,0,0.581395,1,0.735294,?,0.5,0.581395,0.581395,0.581395,0.418605,0.418605,?,0.581395,?,?,0.5,0.51325,?,0.581395,0,0,0,0,0,0,906,289372,38422,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,393,43,25,18,0,58.139535,41.860465,0,0,0.487842,0.493376,100,100,42.180054,42.180054,0,0.980931,0.980931,0,0,0,0,1,25,1,18,0,0,0,0,0.581395,1,0.735294,?,0.5,0.581395,0.581395,0.581395,0.418605,0.418605,?,0.581395,?,?,0.5,0.51325,?,0.581395,0,0,0,0,0,0,906,289372,38422,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,393,43,25,18,0,58.139535,41.860465,0,0,0.487842,0.493376,100,100,42.180054,42.180054,0,0.980931,0.980931,0,0,0,0,1,25,1,18,0,0,0,0,0.581395,1,0.735294,?,0.5,0.581395,0.581395,0.581395,0.418605,0.418605,?,0.581395,?,?,0.5,0.51325,?,0.581395,0,0,0,0,0,0,906,289372,38422,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,393,43,25,18,0,58.139535,41.860465,0,0,0.487842,0.493376,100,100,42.180054,42.180054,0,0.980931,0.980931,0,0,0,0,1,25,1,18,0,0,0,0,0.581395,1,0.735294,?,0.5,0.581395,0.581395,0.581395,0.418605,0.418605,?,0.581395,?,?,0.5,0.51325,?,0.581395,0.001,0,0,0,0,0,906,289372,38422,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,123,14,7,7,0,50,50,0,0,0.5,0.500144,100,100,14.005819,14.005819,0,1.000416,1.000416,0,0,0,0,0,0,0,0,1,7,1,7,?,0,?,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,910,96047,17894,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,124,13,7,6,0,53.846154,46.153846,0,0,0.499389,0.499452,100,100,12.979461,12.979461,0,0.99842,0.99842,0,0,0,0,0,0,0,0,1,7,1,6,?,0,?,?,0.5,0.461538,0.538462,0.538462,0.461538,0.461538,?,0.538462,?,?,0.5,0.502959,?,0.538462,0,0,0,0,0,0,910,96764,17177,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,23,21,0,52.272727,47.727273,0,0,0.4985,0.499589,100,100,43.947832,43.947832,0,0.998814,0.998814,0,0,0,0,1,23,1,21,0,0,0,0,0.522727,1,0.686567,?,0.5,0.522727,0.522727,0.522727,0.477273,0.477273,?,0.522727,?,?,0.5,0.501033,?,0.522727,0,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,23,21,0,52.272727,47.727273,0,0,0.4985,0.499589,100,100,43.947832,43.947832,0,0.998814,0.998814,0,0,0,0,1,23,1,21,0,0,0,0,0.522727,1,0.686567,?,0.5,0.522727,0.522727,0.522727,0.477273,0.477273,?,0.522727,?,?,0.5,0.501033,?,0.522727,0,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,23,21,0,52.272727,47.727273,0,0,0.4985,0.499589,100,100,43.947832,43.947832,0,0.998814,0.998814,0,0,0,0,1,23,1,21,0,0,0,0,0.522727,1,0.686567,?,0.5,0.522727,0.522727,0.522727,0.477273,0.477273,?,0.522727,?,?,0.5,0.501033,?,0.522727,0.001,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,23,21,0,52.272727,47.727273,0,0,0.4985,0.499589,100,100,43.947832,43.947832,0,0.998814,0.998814,0,0,0,0,1,23,1,21,0,0,0,0,0.522727,1,0.686567,?,0.5,0.522727,0.522727,0.522727,0.477273,0.477273,?,0.522727,?,?,0.5,0.501033,?,0.522727,0,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,24,20,0,54.545455,45.454545,0,0,0.497231,0.498155,100,100,43.766032,43.766032,0,0.994683,0.994683,0,0,0,0,1,24,1,20,0,0,0,0,0.545455,1,0.705882,?,0.5,0.545455,0.545455,0.545455,0.454545,0.454545,?,0.545455,?,?,0.5,0.504132,?,0.545455,0,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1',1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180913.2117,392,44,24,20,0,54.545455,45.454545,0,0,0.497231,0.498155,100,100,43.766032,43.766032,0,0.994683,0.994683,0,0,0,0,1,24,1,20,0,0,0,0,0.545455,1,0.705882,?,0.5,0.545455,0.545455,0.545455,0.454545,0.454545,?,0.545455,?,?,0.5,0.504132,?,0.545455,0,0,0,0,0,0,910,288986,39470,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
